序号,Phase,名称,描述,涉及文件,前置任务,验证命令,注意事项,优先级,状态
1,P0:基础设施,确认 RPCError 导出,"【做什么】确认 Pilot 的 rpc/client.ts 已导出 RPCError 类|【为什么】Phase 0 的 step-recovery 模块依赖此类型，不确认会在后续步骤编译失败|【具体操作】①运行 grep -n 'export.*class.*RPCError' packages/server/src/rpc/client.ts ②确认 L306 有 export class RPCError extends Error ③如果没有，从 Porta packages/proxy/src/rpc.ts L302-320 复制该类到 client.ts 末尾|【验收标准】grep 输出包含 export class RPCError",packages/server/src/rpc/client.ts,无,"grep -n 'export.*class.*RPCError' packages/server/src/rpc/client.ts → 输出包含 L306",已通过上轮验证确认 L306 存在,P0,待开始
2,P0:基础设施,移植 step-recovery 模块,"【做什么】从 Porta 复制 step-recovery.ts 到 Pilot 的 rpc/ 目录|【为什么】Phase 2 的 ws-poller 容错和 Phase 1 的 steps API 都依赖此模块|【具体操作】①复制 porta/packages/proxy/src/step-recovery.ts → packages/server/src/rpc/step-recovery.ts ②将 import { RPCError } from './rpc.js' 改为 import { RPCError } from './client' ③将 import { rpcForConversation } from './routing.js' 改为 from './routing' ④将 import type { LSInstance } from './discovery.js' 改为 from './discovery' ⑤删除所有 .js 后缀|【验收标准】文件存在且 tsc 编译通过","packages/server/src/rpc/step-recovery.ts (新建); porta/packages/proxy/src/step-recovery.ts (源)",1,"pnpm --filter @ag/server exec tsc --noEmit → 无报错",Porta 用 ESM .js 后缀，Pilot 不需要。共 3 处 import 需要改路径,P0,待开始
3,P0:基础设施,移植 metadata 模块,"【做什么】从 Porta 复制 metadata.ts 到 Pilot 的 rpc/ 目录|【为什么】Phase 1 的 conversations API 需要磁盘扫描和 LS metadata 生成|【具体操作】①复制 porta/packages/proxy/src/metadata.ts → packages/server/src/rpc/metadata.ts ②将 L22 的 ideName: 'porta' 改为 ideName: 'antigravity-pilot' ③将 L23 的 ideVersion: '0.1.0' 改为 ideVersion: '3.0.0' ④无外部 import 需要修改（仅用 node:fs/promises、node:path、node:os）|【验收标准】文件存在且 tsc 编译通过","packages/server/src/rpc/metadata.ts (新建); porta/packages/proxy/src/metadata.ts (源)",无,"pnpm --filter @ag/server exec tsc --noEmit → 无报错","此模块无外部依赖，是最简单的移植",P0,待开始
4,P0:基础设施,移植 conversation-mutations 模块,"【做什么】从 Porta 复制 conversation-mutations.ts|【为什么】Phase 2 的消息发送需要串行锁防止并发 RPC 冲突|【具体操作】①直接复制 porta/packages/proxy/src/conversation-mutations.ts → packages/server/src/rpc/conversation-mutations.ts ②此文件无任何外部 import，29 行纯 TypeScript，无需修改|【验收标准】文件存在且 tsc 编译通过","packages/server/src/rpc/conversation-mutations.ts (新建); porta/packages/proxy/src/conversation-mutations.ts (源)",无,"pnpm --filter @ag/server exec tsc --noEmit → 无报错",此文件零外部依赖，直接复制即可,P0,待开始
5,P0:基础设施,移植 message-tracker 模块,"【做什么】从 Porta 复制 message-tracker.ts|【为什么】Phase 2 的 ws-poller 需要用它标注 pending 消息实现乐观 UI|【具体操作】①复制 porta/packages/proxy/src/message-tracker.ts → packages/server/src/rpc/message-tracker.ts ②此文件无外部 import（162 行纯 TS，内部定义了 PendingMessage/ConfirmedMessage 接口和 MessageTracker 类）③无需修改|【验收标准】文件存在且 tsc 编译通过","packages/server/src/rpc/message-tracker.ts (新建); porta/packages/proxy/src/message-tracker.ts (源)",无,"pnpm --filter @ag/server exec tsc --noEmit → 无报错",此文件零外部依赖（从 head -10 确认），直接复制即可,P0,待开始
6,P0:基础设施,Phase 0 回归验证,"【做什么】验证 Phase 0 的 4 个新模块全部编译通过且不影响现有功能|【为什么】Phase 1 依赖这些模块，必须确认基础设施完整|【具体操作】①运行 pnpm --filter @ag/server exec tsc --noEmit ②确认 4 个新文件存在：ls packages/server/src/rpc/{step-recovery,metadata,conversation-mutations,message-tracker}.ts ③启动服务 pnpm --filter @ag/server dev 确认无崩溃 ④确认现有功能不受影响（新模块无人引用）|【验收标准】编译通过 + 4 文件存在 + 服务启动正常","packages/server/src/rpc/step-recovery.ts; packages/server/src/rpc/metadata.ts; packages/server/src/rpc/conversation-mutations.ts; packages/server/src/rpc/message-tracker.ts","1;2;3;4;5","pnpm --filter @ag/server exec tsc --noEmit → 无报错 && ls packages/server/src/rpc/{step-recovery,metadata,conversation-mutations,message-tracker}.ts → 4 个文件",通过后执行 git commit -m 'refactor: Phase 0 - 移植 Porta 基础模块',P0,待开始
7,P1:会话管理RPC化,创建 conversations API 路由文件,"【做什么】新建 api/conversations.ts，实现完整会话 CRUD 的 RPC 版本|【为什么】这是替代 CDP DOM 脚本的核心——用 RPC 直接调用 LS 获取会话列表、步骤、发消息|【具体操作】①参照 porta/packages/proxy/src/routes/conversations.ts (635行) 创建 packages/server/src/api/conversations.ts ②使用 Express Router 格式（Porta 用 Hono，需转换 31 处语法）③实现以下端点：GET /api/conversations（含 scanDiskConversations + warm-up）；GET /api/conversations/:id（单个会话详情）；GET /api/conversations/:id/steps（含 step-recovery 容错）；POST /api/conversations（StartCascade 新建会话）；POST /api/conversations/:id/messages（SendUserCascadeMessage）；POST /api/conversations/:id/stop（CancelCascadeInvocation）④导入 Phase 0 的模块：step-recovery、metadata、conversation-mutations|【验收标准】文件存在且 tsc 编译通过","packages/server/src/api/conversations.ts (新建); porta/packages/proxy/src/routes/conversations.ts (参照)",6,"pnpm --filter @ag/server exec tsc --noEmit → 无报错","Hono→Express 转换要点：c.req.param('id') → req.params.id | c.json(data) → res.json(data) | c.json(data, 201) → res.status(201).json(data) | c.text('msg', 404) → res.status(404).send('msg') | 共 31 处需转换",P0,待开始
8,P1:会话管理RPC化,注册 conversations 路由到服务入口,"【做什么】在 index.ts 中添加 conversations 路由的动态 import|【为什么】新路由文件创建后必须注册才能对外提供服务|【具体操作】①打开 packages/server/src/index.ts ②在 L65-69（workspace 路由之后）添加：try { const mod: any = await import('./api/conversations'); routers.push(mod.conversationsRouter || mod.router || mod.default); } catch {} ③保持与现有路由注册模式一致|【验收标准】服务启动后 curl localhost:3456/api/conversations 返回 JSON",packages/server/src/index.ts,7,"curl -s http://localhost:3456/api/conversations | jq 'keys' → 返回 JSON 而非 404",不要删除现有的 /api/conversations/history（在 cascade.ts L56-119）——两个端点并存,P0,待开始
9,P1:会话管理RPC化,Phase 1 回归验证,"【做什么】验证新旧 API 并存且功能正常|【为什么】确认 conversations API 可用且不影响现有功能|【具体操作】①pnpm --filter @ag/server exec tsc --noEmit ②启动服务 pnpm --filter @ag/server dev ③curl -s localhost:3456/api/conversations 确认返回会话列表 ④curl -s localhost:3456/api/conversations/history 确认旧 API 仍正常 ⑤用一个真实 conversation ID 测试 curl -s localhost:3456/api/conversations/{id}/steps?offset=0 确认返回步骤|【验收标准】新旧 API 都返回正确 JSON","packages/server/src/api/conversations.ts; packages/server/src/index.ts","7;8","pnpm --filter @ag/server exec tsc --noEmit → 无报错 && curl localhost:3456/api/conversations → JSON && curl localhost:3456/api/conversations/history → JSON",通过后执行 git commit -m 'refactor: Phase 1 - conversations RPC API',P0,待开始
10,P2:消息流优化,ws-poller 集成 step-recovery,"【做什么】在 ws-poller.ts 的 fetchAndPush catch 块中添加损坏步骤跳过逻辑|【为什么】当前 ws-poller 遇到 >4MB 或 UTF-8 损坏步骤会卡死，需要容错跳过|【具体操作】①在 ws-poller.ts 顶部添加 import { oversizedStepOffset, isRecoverableStepError, findNextValidOffset, placeholderStep, MAX_SKIP } from './step-recovery' ②找到 L440 的主 catch (err) 块 ③在 catch 块开头添加：if (isRecoverableStepError(err)) { const skipOffset = oversizedStepOffset(err); if (skipOffset >= 0) { console.log('[ws] Skipping corrupted step at offset', skipOffset); // 跳过该步骤，推送 placeholder 并继续 } else { const nextValid = await findNextValidOffset(cascadeId, currentOffset, currentOffset + MAX_SKIP, instance); // 二分搜索找到下一个有效 offset } }|【验收标准】tsc 编译通过 + 日志不再出现卡死",packages/server/src/rpc/ws-poller.ts; packages/server/src/rpc/step-recovery.ts,9,"pnpm --filter @ag/server exec tsc --noEmit → 无报错","最容易出错：L440 的 catch 块嵌套在多层 try-catch 中（L440/459/477/537/584/615），只改 L440 的主 catch 块。不要改变 WS 消息格式 { type: 'steps', steps, offset }",P1,待开始
